term,primary_hr,primary_hr_lower_95,primary_hr_upper_95,stratified_hr,stratified_hr_lower_95,stratified_hr_upper_95,relative_hr_change_percent
age,1.0206905537576934,1.0114687341511706,1.0299964510563722,1.0213156540915873,1.0119772455603797,1.030740236372529,0.06124288420154745
grade_Poorly differentiated; Grade III,1.704457280236475,1.4417706335095615,2.0150047120042514,1.413910167616479,1.1865182229998916,1.6848809595480123,-17.04631239450518
grade_Undifferentiated; anaplastic; Grade IV,3.9185375375531404,2.0147392261561987,7.621302168473584,3.5341725555231376,1.8019396651600084,6.9316281192488365,-9.808888605671303
grade_Well differentiated; Grade I,0.6220218129105938,0.44523166974166534,0.8690108139905622,0.6477905490978678,0.46355790277036274,0.9052431055379819,4.1427383497526815
overall_stage_IIB,1.6177428742129663,1.2442035206255675,2.103427585344714,1.6272343944723415,1.251408787498453,2.1159287045177804,0.5867137732869266
overall_stage_IIIA,2.366316519452536,1.8460992712727076,3.033127176510763,2.3252347093529093,1.8134332622496037,2.9814808000556683,-1.7361079873258547
overall_stage_IIIB,4.102394129541425,2.5315508070945385,6.647955690611371,3.8008844437553644,2.3384741180197466,6.177841543534045,-7.349603091884398
overall_stage_IIIC,5.388301562101669,4.191455554622585,6.926900057935031,4.992581611565004,3.8771743233595646,6.428875533906556,-7.3440572316876285
