overall_stage,n_total,n_events,minimum_followup_months,maximum_followup_months,n_censored,event_percent,censored_percent
IIA,1303,96,2,107,1207,7.367613200306984,92.63238679969301
IIB,1130,135,2,107,995,11.946902654867257,88.05309734513274
IIIA,1050,184,2,107,866,17.523809523809526,82.47619047619048
IIIB,67,20,16,107,47,29.850746268656717,70.14925373134328
IIIC,472,181,1,107,291,38.347457627118644,61.652542372881356
