group_1,group_2,test_statistic,p,-log2(p),p_holm,reject_h0_after_holm
IIA,IIB,15.70160529157795,7.416120265666613e-05,13.71897583440083,0.0002966448106266645,True
IIA,IIIA,59.78724904174977,1.0568586150321543e-14,46.42721094038282,7.39801030522508e-14,True
IIA,IIIB,43.94062919405665,3.3848903763643724e-11,34.782099932571185,2.0309342258186236e-10,True
IIA,IIIC,276.2704888349353,4.879107578300279e-62,203.67292458975678,4.879107578300279e-61,True
IIB,IIIA,13.952687122053343,0.00018746949594893514,12.381056512598972,0.0005624084878468054,True
IIB,IIIB,17.94892021840009,2.2691310905087184e-05,15.427500516742658,0.00011345655452543592,True
IIB,IIIC,156.13307343557292,7.917500784910108e-36,116.60436631066842,7.125750706419097e-35,True
IIIA,IIIB,5.726304167579269,0.01671261946767748,5.902918316528059,0.03342523893535496,True
IIIA,IIIC,80.2488522665638,3.3010416391122964e-19,61.3937124661286,2.640833311289837e-18,True
IIIB,IIIC,2.2197515281194065,0.13625498683308016,2.8756190624458973,0.13625498683308016,False
