term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.02047941171386619,1.0206905537576934,0.004630669245452583,0.011403466768461861,0.02955535665927052,1.0114687341511706,1.0299964510563722,0.0,4.422559813352555,9.753833432947877e-06,16.645599233767282
overall_stage_IIB,0.4810318901938553,1.6177428742129663,0.1339495570020635,0.2184955827247158,0.7435681976629948,1.2442035206255675,2.103427585344714,0.0,3.591142075866999,0.00032923209041453854,11.56860741673778
overall_stage_IIIA,0.8613345349064516,2.366316519452536,0.12666540089980213,0.613074911055512,1.1095941587573912,1.8460992712727076,3.033127176510763,0.0,6.800077438572234,1.0456293039169774e-11,36.476837565205045
overall_stage_IIIB,1.4115707373216184,4.102394129541425,0.2462997580295384,0.9288320821827931,1.8943093924604437,2.5315508070945385,6.647955690611371,0.0,5.731108908163566,9.977617485208676e-09,26.578657492594488
overall_stage_IIIC,1.6842302261915638,5.388301562101669,0.12815652064317154,1.4330480613469836,1.935412391036144,4.191455554622585,6.926900057935031,0.0,13.141978400623062,1.89214116478206e-39,128.63517597443837
grade_Poorly differentiated; Grade III,0.5332467493521275,1.704457280236475,0.08539686740555641,0.3658719648446944,0.7006215338595605,1.4417706335095615,2.0150047120042514,0.0,6.244336186475048,4.25603709518416e-10,31.129770223597255
grade_Undifferentiated; anaplastic; Grade IV,1.3657185070369644,3.9185375375531404,0.33940865319986624,0.7004897707239812,2.0309472433499476,2.0147392261561987,7.621302168473584,0.0,4.023817584381796,5.72622765353338e-05,14.092055446765475
grade_Well differentiated; Grade I,-0.4747801178697673,0.6220218129105938,0.170605384022873,-0.8091605261232235,-0.14039970961631104,0.44523166974166534,0.8690108139905622,0.0,-2.782914036324397,0.005387307805607923,7.536219788273303
