term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.021091653097870963,1.0213156540915873,0.004686599948756966,0.011906085988360047,0.03027722020738188,1.0119772455603797,1.030740236372529,0.0,4.500416790100707,6.782035006603597e-06,17.1698503382308
overall_stage_IIB,0.48688188330137006,1.6272343944723415,0.13398814400742873,0.22426994669144346,0.7494938199112966,1.251408787498453,2.1159287045177804,0.0,3.6337683972574153,0.00027931160412029114,11.805836867302755
overall_stage_IIIA,0.8438209842035009,2.3252347093529093,0.12683860908915798,0.5952218785395965,1.0924200898674052,1.8134332622496037,2.9814808000556683,0.0,6.652713950926081,2.8773709403793612e-11,35.01645782360515
overall_stage_IIIB,1.3352337880073182,3.8008844437553644,0.2478286139369019,0.8494986303525092,1.8209689456621272,2.3384741180197466,6.177841543534045,0.0,5.3877305239146995,7.135292664059155e-08,23.74045215401908
overall_stage_IIIC,1.6079531330074759,4.992581611565004,0.12900569288897432,1.3551066211444514,1.8607996448705004,3.8771743233595646,6.428875533906556,0.0,12.464202912280177,1.1703614527264127e-35,116.04052916259668
grade_Poorly differentiated; Grade III,0.34635903477480656,1.413910167616479,0.08945872514209588,0.1710231553934308,0.5216949141561823,1.1865182229998916,1.6848809595480123,0.0,3.871718876215274,0.00010807055259107109,13.175738913075783
grade_Undifferentiated; anaplastic; Grade IV,1.2624791999616156,3.5341725555231376,0.3436877048775188,0.5888636764724476,1.9360947234507835,1.8019396651600084,6.9316281192488365,0.0,3.673332452819427,0.0002394076756249171,12.028242972428906
grade_Well differentiated; Grade I,-0.4341878615796928,0.6477905490978678,0.17073584911135456,-0.7688239767078127,-0.09955174645157289,0.46355790277036274,0.9052431055379819,0.0,-2.543038640329799,0.010989307561711745,6.507755705103304
